Nr	Namn	Postadress	Kommun	Län	Kategori	Övrig verksamhet	Djurslag	Kontrollerande myndighet	lat	lng
5073	Länna Kött och Charkproduktion	C/o Länna Kött och Charkproduktion, Dalhemsvägen 25 B, 141 46 Huddinge	HUDDINGE	STOCKHOLM	CP MP MM	V-MP V-MM CS(kf) I-CP	B P	Livsmedelsverket	59.2318666	17.9872367
5076	Bromma Chark AB	Drottningholmsvägen 266, 167 32 Bromma	STOCKHOLM	STOCKHOLM	MP PP(mp)	VI-PP(mp) V-MP	\N	Kommunen	59.3354433	17.9647107
5081	Bodens Kött & Vilt produktion AB	Handelsvägen 19, 973 45 Luleå	BODEN	NORRBOTTEN	CP MP MM PP(mp)	III-CP IV-CP V-MP V-MM VI-PP(mp) I-CP	B O P fG wU	Livsmedelsverket	65.6242868	22.0464666
5095	Lugnås Chark AB	Björsätersvägen 11, 542 74 Mariestad	MARIESTAD	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	B O P	Livsmedelsverket	58.6436369	13.6984722
5100	Änge Chark AB	Änge 231, 835 97 Offerdal	KROKOM	JÄMTLAND	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) I-CP	B	Livsmedelsverket	63.448563	14.0580114
5101	Andersson & Tillman AB	Danmarksgatan 24, 753 23 Uppsala	UPPSALA	UPPSALA	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) CS(kf) CS(i) I-CP	B O P wU	Livsmedelsverket	59.852449	17.6707329
5106	Bromölla Chark AB	Box 45, 29521 Bromölla	BROMÖLLA	SKÅNE LÄN	CP MP PP(mp)	V-MP VI-PP(mp) CS(kf) I-CP	B P	Livsmedelsverket	56.0743618	14.477659
5109	Bröderna Hissas Basturökeri AB	Industrivägen 16, 682 33 Filipstad	FILIPSTAD	VÄRMLAND	MM PP(mp)	VI-PP(mp) V-MM	\N	Livsmedelsverket	59.6892691	14.1637059
5116	Carnex Kött & Chark AB	Stillmansgatan 7, 212 25 Malmö	MALMÖ	SKÅNE LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	B O P	Livsmedelsverket	55.6221076	13.0554037
5117	Szabos Hemchark AB	Gröne vägen 4, 295 94 NÄSUM	BROMÖLLA	SKÅNE LÄN	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Livsmedelsverket	56.1950625	14.5079479
5121	N. Holmgrens Charkuterifabrik AB	Mårtenstorget 1, 223 51 Lund	LUND	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.7016987	13.1947033
5122	DelMat AB	Industrivägen 11, 712 30 Hällefors	HÄLLEFORS	ÖREBRO	PP(mp)	\N	\N	Livsmedelsverket	59.7673435	14.5208753
5131	Börjes Chark AB	Grönkällegatan 4, 578 33 Aneby	ANEBY	JÖNKÖPING	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P	Livsmedelsverket	57.8443356	14.8089693
5136	Dackebygdens kött i Virserum AB	Storgatan 18, 570 80 Virserum	HULTSFRED	KALMAR	CP MP MM	V-MP V-MM I-CP	B O P	Livsmedelsverket	57.3186993	15.582195
5139	Tornedalica Special AB	Box 45, 980 63 Kangos	PAJALA	NORRBOTTEN	CP PP(mp)	VI-PP(mp) III-CP	fG	Livsmedelsverket	67.4812076	22.6571493
5142	Västkött AB	c/o Bergstrand Bröndomevägen 187, 434 79 Vallda	KUNGSBACKA	HALLAND	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P	Livsmedelsverket	57.4722603	12.0282872
5145	Korvdelikatessen AB	Slakthuset, byggnad E, 415 02 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Kommunen	57.7285389	12.0007779
5153	Jokkmokks Korv AB	Industrihus A, Hantverkargatan 71, 962 33 Jokkmokk	JOKKMOKK	NORRBOTTEN	CP PP(mp)	VI-PP(mp) I-CP	B P	Livsmedelsverket	66.605584	19.8049935
5158	Larssons Chark	c/o Sheptim Husaj, Gästgivargatan 7, 298 31 Tollarp	KRISTIANSTAD	SKÅNE LÄN	PP(mp)	\N	\N	Livsmedelsverket	55.9344942	13.9744406
5159	Dickssons Kött och Handel AB	Ängadahl 21 B, 288 33 Vinslöv	HÄSSLEHOLM	SKÅNE LÄN	CP MM	IV-CP V-MM CS(kf) I-CP	B O P wU	Livsmedelsverket	56.117535	13.931558
5160	Solvarborökt Erlandssons Rökeri	c/o Orreboes Solvarbo AB, Rönnbergsgatu 3, 781 62 Gustafs	SÄTER	DALARNAS LÄN	PP(mp)	\N	\N	Livsmedelsverket	60.3902099	15.6714554
5163	Rosas Handel AB	Marknadsvägen 10, 387 72 Löttorp	BORGHOLM	KALMAR	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	O P	Livsmedelsverket	57.1672191	16.9940374
5165	Kungsholmens Kött	Fiskhallsvägen 18, 120 44 ÅRSTA	STOCKHOLM	STOCKHOLM	CP MM FFPP	III-CP IV-CP V-MM VIII-FFPP CS(kf) CS(i) I-CP	B O P fG wU	Kommunen	59.2918084	18.0277503
5172	Hugos Chark & Livs AB	Jonstorpsvägen 30, 563 91 Gränna	JÖNKÖPING	JÖNKÖPING	PP(mp)	\N	\N	Livsmedelsverket	58.0103614	14.5810437
5174	Köttgross i Linköping AB	Finnögatan 17, 582 78 Linköping	LINKÖPING	ÖSTERGÖTLAND	CP MM	V-MM CS(kf) I-CP	B O	Livsmedelsverket	58.4195596	15.6663205
5183	Nacka Köttprodukt AB	Johan Skyttes väg 253, 125 34 Älvsjö	STOCKHOLM	STOCKHOLM	MP	\N	\N	Kommunen	59.2799856	17.9957527
5189	Per i Viken Chark AB	Sankt Andreas väg 10, 263 57 Höganäs	HÖGANÄS	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) CS(kf) V-MP	\N	Livsmedelsverket	56.2025497	12.5940177
5191	Härryda Karlsson	Industrivägen 4B, 438 92 HÄRRYDA	HÄRRYDA	VÄSTRA GÖTALANDS LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	57.690207	12.281855
5192	Mora Salt och Rökning AB	Mossvägen 20, 792 36 Mora	MORA	DALARNAS LÄN	PP(mp)	\N	\N	Livsmedelsverket	60.9868107	14.5314662
5195	Helmut Walch Charkuteri AB	A Odhners gata 17, 421 30 VÄSTRA FRÖLUNDA	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	IV-CP II-CP V-MP V-MM VI-PP(mp) I-CP	B O P wU A	Livsmedelsverket	57.6580636	11.9457258
5199	Bernd\'s Chark AB	S. Huveröd 202, 444 94 Ucklum	STENUNGSSUND	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	B O P	Livsmedelsverket	58.1188055	11.9836205
5201	Sten Johansson i Åseda AB Hammaren	Box 15, 364 21 ÅSEDA	UPPVIDINGE	KRONOBERG	MP MM PP(mp) PP(bl)	VI-PP(mp) VI-PP(bl) CS(kf) V-MP V-MM	\N	Livsmedelsverket	57.1676879	15.3468017
5209	Utsi Ren	Ulleniusgatan 25, 962 33 Jokkmokk	JOKKMOKK	NORRBOTTEN	MP MM PP(mp)	VI-PP(mp) V-MP V-MM	\N	Livsmedelsverket	66.6092999	19.8136209
5214	Tjurskallen AB	Björkbacka 139, 713 93 Nora	NORA	ÖREBRO	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) I-CP	B O P wU wG	Livsmedelsverket	59.5162166	15.0294553
5219	Dennfood AB	Metodvägen 3-5, 435 33 Mölnlycke	HÄRRYDA	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) CS(i) I-CP	B P	Livsmedelsverket	57.6787596	12.0924054
5229	Blekingekroppkakan AB	Kungsmarksplan, 371 44 Karlskrona	KARLSKRONA	BLEKINGE	PP(mp)	\N	\N	Livsmedelsverket	56.1945503	15.6230908
5253	Karelius & Co AB	Skålmo 20, 780 64 Lima	MALUNG	DALARNAS LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) IV-CP	wU wG	Livsmedelsverket	60.9485513	13.3535224
5263	Anderssons Kök	c/o Pär Friberg Livs AB, Revingevägen 2, 247 31 Södra sandby	LUND	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.7168577	13.3429275
5264	Hellströms Goda AB	Storavägen 15, 795 70 Vikarbyn	RÄTTVIK	DALARNAS LÄN	MM PP(mp)	VI-PP(mp) V-MM	\N	Livsmedelsverket	60.9109626	15.0234864
5265	Ore Kött	c/o Kaj Munk, Göringsvägen 13, 790 70 Furudal	RÄTTVIK	DALARNAS LÄN	SH CP GHE	IV-CP IV-GHE I-SH I-CP	B C O S wU wG	Livsmedelsverket	61.1713931	15.1383573
5276	Gullringsbo Chark AB	Julaftonsgatan 1, 415 44 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P wU	Livsmedelsverket	57.7603897	12.0369724
5279	Eklunds Chark AB	Norra Oskarsgatan 28, 582 73 Linköping	LINKÖPING	ÖSTERGÖTLAND	MP PP(mp)	VI-PP(mp) CS(kf) V-MP	\N	Livsmedelsverket	58.4290463	15.6210155
5285	Sorunda Korvfabrik  AB	Segersängsvägen 10, 148 96 Sorunda	NYNÄSHAMN	STOCKHOLM	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	59.0512685	17.8690905
5290	A.G. Nilsson Chark i Tomelilla AB	Backagatan 6, 273 32 Tomelilla	TOMELILLA	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.5359127	13.9559172
5306	Vindelns Rökeri AB	Hantverkarvägen 10, 922 31 Vindeln	UMEÅ	VÄSTERBOTTEN	PP(mp)	\N	\N	Livsmedelsverket	64.1985392	19.7172362
5316	Köttgrossisten i Malmö AB	Arlövsvägen 18, 232 35 Arlöv	BURLÖV	SKÅNE LÄN	CP MP MM	V-MP V-MM CS(kf) I-CP	B O P	Livsmedelsverket	55.6344321	13.0572042
5323	Carne Mundial	Muskotgatan 5, 424 41 ANGERED	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM	V-MP V-MM CS(kf) CS(i) I-CP	B O P	Kommunen	57.8038926	12.0321657
5329	Erzz Mat AB	Industrigatan 14 A, 553 02 Jönköping	JÖNKÖPING	JÖNKÖPING	CP	CS(kf)	P	Livsmedelsverket	57.755221	14.1620753
5333	Tuk Tuk	Box 7544, 103 93 STOCKHOLM	STOCKHOLM	STOCKHOLM	PP(mp) FFPP	VIII-FFPP VI-PP(mp)	\N	Kommunen	59.3293235	18.0685808
5339	JR Fenix Food Trading AB	Uppköparvägen 4, 120 44 Stockholm	STOCKHOLM	STOCKHOLM	CP MP MM FFPP	V-MP V-MM VIII-FFPP CS(kf) CS(i) I-CP	B P	Livsmedelsverket	59.2947758	18.0309905
5341	Wermlandskött AB	Industrigatan 1, 665 33 Kil	KIL	VÄRMLAND	MP MM PP(mp)	VI-PP(mp) V-MP V-MM	\N	Livsmedelsverket	59.5051201	13.3075232
5342	Fläsk från glada utegrisar	c/o Håkan Jonsson, Brantestad 136, 598 95 Vimmerby	VIMMERBY	KALMAR	CP MP MM	V-MP V-MM I-CP	B O P	Livsmedelsverket	57.669907	16.0681762
5346	Hisingens Pizza Grossist AB	Partihallarna Box 36104, 400 13 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP	\N	B P	Livsmedelsverket	57.7203054	11.9984126
5367	the Barbecue company Sweden AB	Skarpövägen 12, 132 38 Saltsjö-Boo	NACKA	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.3377994	18.2499753
5373	Matklassiker/Indian Garden Matlåda AB	Björksundsslingan 21, 124 31 BANDHAGEN	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.2663976	18.0521926
5383	Slakteriaktiebolaget Björk & Co.	Box 28, 827 28 Färila	LJUSDAL	GÄVLEBORG	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Livsmedelsverket	61.8003807	15.841888
5386	Deksan Food AB	Herkulesgatan 1-3, 417 01 GÖTEBORG	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP	\N	B P	Livsmedelsverket	57.7200187	11.950726
5390	Eskilstuna Kebabfabrik AB	Box 4072, 630 04 Eskilstuna	ESKILSTUNA	SÖDERMANLAND	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Livsmedelsverket	59.3712486	16.5098046
5395	Finsta gård	c/o Björn Svensson, Finsta Gård 114, 740 20 Vänge	UPPSALA	UPPSALA	CP MM	V-MM I-CP	B O	Livsmedelsverket	59.8648331	17.4331736
5401	Gårdscharken i Fågelberget	c/o Margona Lundgren, Fågelberget 527, 833 98 Gäddede	STRÖMSUND	JÄMTLAND	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	64.3841038	14.6125651
5406	Carolines Kök AB	Box 194, 132 26 Saltsjö-Boo	NACKA	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.3307172	18.2867058
5423	SP FB Forum	Box 5401, 402 29 GÖTEBORG	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp) FFPP PP	IV-CP II-CP V-MP V-MM VI-PP(mp) VIII-FFPP VIII-PP I-CP	P wU A	Livsmedelsverket	57.70887	11.97456
5428	Carlströms Kött och Chark AB	Slakterigatan 7 A, 721 32 Västerås	VÄSTERÅS	VÄSTMANLAND	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	B O P	Livsmedelsverket	59.5928521	16.513493
5432	Töllås Fårgård	c/o Morgan Baumann, Töllås 691, 473 91 Henån	ORUST	VÄSTRA GÖTALANDS LÄN	CP MM	IV-CP V-MM I-CP	O wU	Livsmedelsverket	58.2961974	11.7369585
5435	Ekastiga Gårdsbutik	c/o Ekastiga Djur & Natur HB, Ekastiga 333, 243 93 Höör	HÖÖR	SKÅNE LÄN	CP MP MM	V-MP V-MM I-CP	B O	Livsmedelsverket	55.9348588	13.5395904
5437	Eldsberga Chark	Kommunalhusvägen 10, 305 97 ELDSBERGA	HALMSTAD	HALLAND	PP(mp)	CS(kf)	\N	Livsmedelsverket	56.5966943	12.9870524
5439	Bento Food	Svarvargatan 28, 142 50 SKOGÅS	HUDDINGE	STOCKHOLM	MM PP(mp)	VI-PP(mp) V-MM	\N	Livsmedelsverket	59.3369262	18.029378
5441	Matital Holding AB	Box 26261, 100 40 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.3293235	18.0685808
5446	Kervansaray Sverige AB	Vretenborgsvägen 5, 126 30 HÄGERSTEN	STOCKHOLM	STOCKHOLM	MP MM PP(mp)	VI-PP(mp) V-MP V-MM	\N	Kommunen	59.2990164	18.017912
5462	Vikaryds Köttbod	c/o Vikaryds Egendoms AB, Vikarydsvägen 5, 441 91 Alingsås	ALINGSÅS	VÄSTRA GÖTALANDS LÄN	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	C O B P wU	Livsmedelsverket	57.956585	12.4448797
5477	Skåne Kebab Döner AB	Emilstorpsgatan 10, 212 28 MALMÖ	MALMÖ	SKÅNE LÄN	CP MP PP(mp)	V-MP VI-PP(mp) CS(kf) I-CP	B	Livsmedelsverket	55.5952489	13.0357905
5482	Smultronboda Fårgård	c/o Eva Mattsson, Stora Björka Smultronboda, 594 75 Edsbruk	VÄSTERVIK	KALMAR	PP(mp)	\N	\N	Livsmedelsverket	58.01437	16.42314
5488	Pirogbageriet i Stockholm AB	Strömkarlsgränd 22, 192 75 Sollentuna	UPPLANDS VÄSBY	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.4827536	17.9269952
5490	Östenssons Livs AB	Box 2019, 591 02 Motala	MOTALA	ÖSTERGÖTLAND	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P wU	Livsmedelsverket	58.5380335	15.0470936
5493	Tasty Food i Ellös AB	c/o Bröderna Hansson, Fiskhamnen, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Kommunen	57.69833	11.9244694
5496	Axel´s Chark	Björtveten 18, 668 94 Bäckefors	BENGTSFORS	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) I-CP	B P wU	Livsmedelsverket	58.7839009	12.1800402
5520	Bosphorus AB	Kumla Gårdsväg 13, 145 63 Norsborg	BOTKYRKA	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.2296862	17.8330264
5529	Turhan Charkuteri AB	Dagjämningsgatan 4, 415 09 GÖTEBORG	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Kommunen	57.7514732	12.0226439
5532	Runstens Gård	c/o Christer Larsson, Södra Runstens Sjögata 3, 386 94 Färjestaden	BORGHOLM	KALMAR	CP	\N	B O	Livsmedelsverket	56.6986335	16.7012241
5535	AK Indian Food Center	Vitplistergränd 5, 165 73 HÄSSELBY	JÄRFÄLLA	STOCKHOLM	CP	CS(kf)	O	Livsmedelsverket	59.3799493	17.8297903
5540	LF Kök	c/o Lena Östberg, Myckling 107, 891 95 ARNÄSVALL	ÖRNSKÖLDSVIK	VÄSTERNORRLAND	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	63.3390949	18.7280379
5552	Lundachark AB	Nöbbelövs Mossaväg 1, 226 60 Lund	LUND	SKÅNE LÄN	PP(mp)	\N	\N	Livsmedelsverket	55.7200821	13.1520609
5555	Wiktor Soldau AB	Box 5102, 121 17 JOHANNESHOV	HANINGE	STOCKHOLM	FFPP PP	CS(kf)	\N	Livsmedelsverket	59.2964153	18.0755919
5557	Chefs Fresh AB	Knivgatan 11, 21228 MALMÖ	MALMÖ	SKÅNE LÄN	CP MP MM	V-MP V-MM CS(kf) I-CP	B O P	Livsmedelsverket	55.5990905	13.0364588
5560	Texas Smoke House SMM AB	Sorterargatan 11, 162 50 Vällingby	STOCKHOLM	STOCKHOLM	CP PP(mp)	VI-PP(mp) CS(i) I-CP	B	Kommunen	59.371402	17.8572081
5567	Viltpoolen AB	Hammarvägen 22 B, 943 36 Öjebyn	PITEÅ	NORRBOTTEN	MP	\N	\N	Livsmedelsverket	65.3354459	21.4153789
5568	Medirest	c/o Compass Group AB, Box 1222, 164 28 Kista	SOLLENTUNA	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.4047385	17.9494445
5569	Naoi Group AB	Mälarvyn 1, 178 40 Ekerö	STOCKHOLM	STOCKHOLM	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Kommunen	59.274182	17.7792956
5574	Tockafarmarens Ungtupp AB	Önneslöv 1001, 247 98 Genarp	LUND	SKÅNE LÄN	CP MM	V-MM II-CP	A	Livsmedelsverket	55.6463407	13.3682243
5579	Blomgrens Chark Eftr.HB	Brännkyrkagatan 90, 117 26 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.3178826	18.0485517
5583	Tornedalens Renprodukter AB	Soukolojärvi 64, 957 92 Övertorneå	ÖVERTORNEÅ	NORRBOTTEN	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) III-CP	fG wU	Livsmedelsverket	66.4876369	23.5920873
5585	Medirest	c/o Compass Group AB, Box 1222, 164 28 Kista	UMEÅ	VÄSTERBOTTEN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	59.4047385	17.9494445
5586	Borgens Konserver AB	Sandgatan 37, 387 31 Borgholm	BORGHOLM	KALMAR	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	56.8818183	16.6603233
5591	Willy Ohlsson Eftr Livsmedel AB	Humlegården 1-3, 114 42 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.3398344	18.0733579
5593	Goutera Food AB	Vintervägen 7 A, 135 40 TYRESÖ	TYRESÖ	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.2445417	18.2160609
5594	Jacobs Kebab AB	Skjulstagatan 3, 632 29 Eskilstuna	ESKILSTUNA	SÖDERMANLAND	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Livsmedelsverket	59.3404402	16.479064
5597	Stockholm World AB	Kylhusgatan 8, 121 62 Johanneshov	STOCKHOLM	STOCKHOLM	CS(f) CS(k)	\N	\N	Kommunen	59.2912262	18.0767259
5599	Sabis AB\\Restaurang Alhamra	Box 6015, 102 31 Stockholm	BOTKYRKA	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.3510723	18.0486537
5603	Sala Kebab AB	Ljunggatan 4, 733 37 Sala	SALA	VÄSTMANLAND	MP MM PP(mp)	VI-PP(mp) CS(kf) V-MP V-MM	\N	Livsmedelsverket	59.9329788	16.5748284
5616	JK Meat Trading AB	Vargmötesvägen 18 B, 186 30 Vallentuna	VALLENTUNA	STOCKHOLM	CP MP MM	V-MP V-MM CS(kf) I-CP	B O P	Livsmedelsverket	59.544791	18.0453599
5618	Wadstens Kött & Chark AB	Göklyckevägen 3, 594 70 Loftahammar	VÄSTERVIK	KALMAR	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	57.9014949	16.6792375
5627	Robertssons Charkuteri AB	Adolfsbergsvägen 14, 702 28 Örebro	ÖREBRO	ÖREBRO	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) I-CP	B O P wU wL	Livsmedelsverket	59.2535917	15.1703412
5630	Nibble Lantbruk AB	Tillberga Nibble , 725 95 Västerås	VÄSTERÅS	VÄSTMANLAND	PP(mp)	\N	\N	Livsmedelsverket	59.6885119	16.6858761
5631	Färdigmat Järna	Snickarvägen 9, 153 81 JÄRNA	SÖDERTÄLJE	STOCKHOLM	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	59.0883854	17.5555433
5633	Grekiska grill & bar produktion	c/o GK Production AB, Björklundsgatan 4 F, 152 41 Södertälje	SÖDERTÄLJE	STOCKHOLM	MP MM PP(mp)	VI-PP(mp) V-MP V-MM	\N	Livsmedelsverket	59.2030037	17.634151
5637	Palace Hotel Matservering	c/o SSRS Stockholm Nord Hotel AB, Box 21034, 100 31 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.3293235	18.0685808
5638	J.R Catering	c/o John Robert Kardevall, Fatburskvarngatan 21, 118 64 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.3134478	18.0610474
5641	Resturang Nya Energikällan Handelsbolag	Solkraftsvägen 23, 135 70 Stockholm	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.2369474	18.1925262
5643	Tolånga 17	c/o Davidstorp Angus AB, Tolångavägen 99-20, 275 92 SJÖBO	SJÖBO	SKÅNE LÄN	CP MP	V-MP I-CP	B O P	Livsmedelsverket	55.6373194	13.7464017
5645	Pasta Evaristo AB	Ekholmsvägen 32, 127 48 Skärholmen	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.2729176	17.9052214
5646	Håvs Lamm och Delikatess	c/o Anders Göransson, Håv 834, 474 93 Ellös	ORUST	VÄSTRA GÖTALANDS LÄN	CP MM PP(mp)	IV-CP V-MM VI-PP(mp) I-CP	B O wU	Livsmedelsverket	58.1563703	11.5656766
5648	Klein\'s Corner Stureby	c/o ACKlein Skolrestauranger AB, Lingvägen 123, 122 45 Enskede	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.2619758	18.0852251
5650	Sabaheta´s Delikatesser	Hildedalsgatan 162, 417 05 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	MP	\N	\N	Kommunen	57.737077	11.9490777
5652	Fellingsbro Kebab AB	Åkersbergsvägen 23, 732 32 ARBOGA	ARBOGA	VÄSTMANLAND	PP(mp)	\N	\N	Livsmedelsverket	59.39896	15.8384041
5653	Håkan Andersson	Smeviken 38, 457 51 Bullaren	TANUM	VÄSTRA GÖTALANDS LÄN	CP PP(mp) PP	VI-PP(mp) VIII-PP I-CP	B O P	Livsmedelsverket	58.6682945	11.5555547
5654	Ya-Poh	c/o Ya-Poh Empanadas AB, Hagabergsvägen 10, 311 61 Ullared	VARBERG	HALLAND	PP(mp)	\N	\N	Livsmedelsverket	57.0947095	12.8310161
6000	Freezing Food Småland Öland AB	Box 209, 382 23 Nybro	NYBRO	KALMAR	CS(f) CS(i)	\N	\N	Livsmedelsverket	56.7437998	15.9086807
6001	Scan-Hide Sweden AB	Vindåkersvägen 12, 311 50 FALKENBERG	FALKENBERG	HALLAND	CC(g) CC(k)	XV-CC(k) XIV-CC(g)	\N	Livsmedelsverket	56.9363889	12.5399412
6002	A.R. Hansson Holdings AB	Box 21041, 100 31 Stockholm	RÄTTVIK	DALARNAS LÄN	CC(g) CC(k)	XV-CC(k) XIV-CC(g)	\N	Livsmedelsverket	59.3293235	18.0685808
6008	Charkuterifabriken Sverige AB	Svetsaregatan 2, 302 50 Halmstad	HALMSTAD	HALLAND	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	56.6592077	12.8776108
6014	BD Ekokött AB	Grevegårdsv. 198 D, 421 61 VÄSTRA FRÖLUNDA	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM	V-MP V-MM I-CP	B O P	Livsmedelsverket	57.6422065	11.8993816
6016	Närke Kött i Örebro AB	Attersta 426, 705 94 ÖREBRO	KUMLA	ÖREBRO	CP MM	V-MM I-CP	B O S	Livsmedelsverket	59.1955011	15.2240422
6020	Salteriet	c/o Salteriet Byviken AB, Bredviken 6, 913 42 Obbola	UMEÅ	VÄSTERBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	63.6872377	20.3006024
6021	Kvarkenfisk AB	Svartviken 50, 907 88 Täfteå	UMEÅ	VÄSTERBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	63.73482	20.536022
6023	Korvhantverk Stockholm AB	Berghällsvägen 29 A, 163 45 SPÅNGA	SOLLENTUNA	STOCKHOLM	MP PP(mp) PP(bl)	VI-PP(mp) VI-PP(bl) V-MP	\N	Livsmedelsverket	59.3688392	17.9028426
6024	Lillängshamnens Fiskrökeri	Lillängshamnen, 663 31 Skoghall	HAMMARÖ	VÄRMLAND	FFPP PP	CS(kf)	\N	Livsmedelsverket	59.3164033	13.4668988
6025	Ostkompaniet AL AB	Frysvägen 6, 556 52 JÖNKÖPING	JÖNKÖPING	JÖNKÖPING	PP	CS(kf)	B	Livsmedelsverket	57.6876458	14.1473047
6028	Silverön SD 191	Egnahemsvägen 33, 475 45 FOTÖ	STRÖMSTAD	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	57.6692427	11.6577409
6029	SD 258 Falken	c/o Kjell-Åke Sörensson, Medvik 6, 452 90 STRÖMSTAD	STRÖMSTAD	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	58.9782063	11.1606185
6030	SD 622 Vanguard AB	Sjövägen 32, 457 73 Havstenssund	TANUM	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	58.7519051	11.1832921
